ts_code,name,market,publisher,category,base_date,base_point,list_date
000001.CJ,能源(长江),OTH,长江证券股份有限公司,行业指数,20021231,1000.0,20200910
000001.SH,上证指数,SSE,中证指数有限公司,综合指数,19901219,100.0,19910715
000002.CJ,原材料(长江),OTH,长江证券股份有限公司,行业指数,20021231,1000.0,20200910
000002.SH,A股指数,SSE,中证指数有限公司,规模指数,19901219,100.0,19920221
000003.CJ,工业(长江),OTH,长江证券股份有限公司,行业指数,20021231,1000.0,20200910
000003.SH,B股指数,SSE,中证指数有限公司,规模指数,19920221,100.0,19920817
000004.CJ,可选消费(长江),OTH,长江证券股份有限公司,行业指数,20021231,1000.0,20200910
000004.SH,工业指数,SSE,中证指数有限公司,行业指数,19930430,1358.78,19930503
000005.CJ,必选消费(长江),OTH,长江证券股份有限公司,行业指数,20021231,1000.0,20200910
000005.SH,商业指数,SSE,中证指数有限公司,行业指数,19930430,1358.78,19930503
000006.CJ,医疗(长江),OTH,长江证券股份有限公司,行业指数,20021231,1000.0,20200910
000006.SH,地产指数,SSE,中证指数有限公司,行业指数,19930430,1358.78,19930503
000007.CJ,金融(长江),OTH,长江证券股份有限公司,行业指数,20021231,1000.0,20200910
000007.SH,公用指数,SSE,中证指数有限公司,行业指数,19930430,1358.78,19930503
000008.CJ,信息技术与硬件(长江),OTH,长江证券股份有限公司,行业指数,20021231,1000.0,20200910
000008.SH,综合指数,SSE,中证指数有限公司,行业指数,19930430,1358.78,19930503
000009.CJ,通讯业务(长江),OTH,长江证券股份有限公司,行业指数,20021231,1000.0,20200910
000009.SH,上证380,SSE,中证指数有限公司,规模指数,20031231,1000.0,20101129
000010.CJ,公用事业及服务(长江),OTH,长江证券股份有限公司,行业指数,20021231,1000.0,20200910
000010.SH,上证180,SSE,中证指数有限公司,规模指数,20020628,3299.06,20020701
000011.CJ,房地产及服务(长江),OTH,长江证券股份有限公司,行业指数,20021231,1000.0,20200910
000015.SH,红利指数,SSE,中证指数有限公司,策略指数,20041231,1000.0,20050104
000016.SH,上证50,SSE,中证指数有限公司,规模指数,20031231,1000.0,20040102
