ts_code,exchange,name,per_unit,opt_code,opt_type,call_put,exercise_type,exercise_price,s_month,maturity_date,list_price,list_date,delist_date,last_edate,last_ddate,quote_unit,min_price_chg
IO2703-C-3900.CFX,CFFEX,沪深300指数期权2703认购3900,100.0,OP000300.SH,指数期权,C,欧式,3900.0,202703,20270319,493.4,20260324,20270319,20270319,,指数点,0.2
IO2703-C-4000.CFX,CFFEX,沪深300指数期权2703认购4000,100.0,OP000300.SH,指数期权,C,欧式,4000.0,202703,20270319,442.8,20260324,20270319,20270319,,指数点,0.2
IO2703-P-3900.CFX,CFFEX,沪深300指数期权2703认沽3900,100.0,OP000300.SH,指数期权,P,欧式,3900.0,202703,20270319,153.8,20260324,20270319,20270319,,指数点,0.2
IO2703-P-4000.CFX,CFFEX,沪深300指数期权2703认沽4000,100.0,OP000300.SH,指数期权,P,欧式,4000.0,202703,20270319,199.4,20260324,20270319,20270319,,指数点,0.2
MO2703-C-9000.CFX,CFFEX,中证1000指数期权2703认购9000,100.0,OP000852.SH,指数期权,C,欧式,9000.0,202703,20270319,214.8,20260414,20270319,20270319,,指数点,0.2
MO2703-P-9000.CFX,CFFEX,中证1000指数期权2703认沽9000,100.0,OP000852.SH,指数期权,P,欧式,9000.0,202703,20270319,1867.6,20260414,20270319,20270319,,指数点,0.2
MO2703-C-7000.CFX,CFFEX,中证1000指数期权2703认购7000,100.0,OP000852.SH,指数期权,C,欧式,7000.0,202703,20270319,752.0,20260323,20270319,20270319,,指数点,0.2
MO2703-C-7200.CFX,CFFEX,中证1000指数期权2703认购7200,100.0,OP000852.SH,指数期权,C,欧式,7200.0,202703,20270319,670.4,20260323,20270319,20270319,,指数点,0.2
MO2703-C-7400.CFX,CFFEX,中证1000指数期权2703认购7400,100.0,OP000852.SH,指数期权,C,欧式,7400.0,202703,20270319,596.2,20260323,20270319,20270319,,指数点,0.2
MO2703-C-7600.CFX,CFFEX,中证1000指数期权2703认购7600,100.0,OP000852.SH,指数期权,C,欧式,7600.0,202703,20270319,529.2,20260323,20270319,20270319,,指数点,0.2
MO2703-C-7800.CFX,CFFEX,中证1000指数期权2703认购7800,100.0,OP000852.SH,指数期权,C,欧式,7800.0,202703,20270319,468.6,20260323,20270319,20270319,,指数点,0.2
MO2703-C-8000.CFX,CFFEX,中证1000指数期权2703认购8000,100.0,OP000852.SH,指数期权,C,欧式,8000.0,202703,20270319,414.0,20260323,20270319,20270319,,指数点,0.2
MO2703-C-8200.CFX,CFFEX,中证1000指数期权2703认购8200,100.0,OP000852.SH,指数期权,C,欧式,8200.0,202703,20270319,365.2,20260323,20270319,20270319,,指数点,0.2
MO2703-C-8400.CFX,CFFEX,中证1000指数期权2703认购8400,100.0,OP000852.SH,指数期权,C,欧式,8400.0,202703,20270319,321.6,20260323,20270319,20270319,,指数点,0.2
MO2703-C-8600.CFX,CFFEX,中证1000指数期权2703认购8600,100.0,OP000852.SH,指数期权,C,欧式,8600.0,202703,20270319,282.6,20260323,20270319,20270319,,指数点,0.2
MO2703-P-7000.CFX,CFFEX,中证1000指数期权2703认沽7000,100.0,OP000852.SH,指数期权,P,欧式,7000.0,202703,20270319,803.2,20260323,20270319,20270319,,指数点,0.2
MO2703-P-7200.CFX,CFFEX,中证1000指数期权2703认沽7200,100.0,OP000852.SH,指数期权,P,欧式,7200.0,202703,20270319,918.8,20260323,20270319,20270319,,指数点,0.2
MO2703-P-7400.CFX,CFFEX,中证1000指数期权2703认沽7400,100.0,OP000852.SH,指数期权,P,欧式,7400.0,202703,20270319,1041.6,20260323,20270319,20270319,,指数点,0.2
MO2703-P-7600.CFX,CFFEX,中证1000指数期权2703认沽7600,100.0,OP000852.SH,指数期权,P,欧式,7600.0,202703,20270319,1171.6,20260323,20270319,20270319,,指数点,0.2
MO2703-P-7800.CFX,CFFEX,中证1000指数期权2703认沽7800,100.0,OP000852.SH,指数期权,P,欧式,7800.0,202703,20270319,1308.0,20260323,20270319,20270319,,指数点,0.2
MO2703-P-8000.CFX,CFFEX,中证1000指数期权2703认沽8000,100.0,OP000852.SH,指数期权,P,欧式,8000.0,202703,20270319,1450.6,20260323,20270319,20270319,,指数点,0.2
MO2703-P-8200.CFX,CFFEX,中证1000指数期权2703认沽8200,100.0,OP000852.SH,指数期权,P,欧式,8200.0,202703,20270319,1598.8,20260323,20270319,20270319,,指数点,0.2
MO2703-P-8400.CFX,CFFEX,中证1000指数期权2703认沽8400,100.0,OP000852.SH,指数期权,P,欧式,8400.0,202703,20270319,1752.2,20260323,20270319,20270319,,指数点,0.2
MO2703-P-8600.CFX,CFFEX,中证1000指数期权2703认沽8600,100.0,OP000852.SH,指数期权,P,欧式,8600.0,202703,20270319,1910.4,20260323,20270319,20270319,,指数点,0.2
HO2703-C-2500.CFX,CFFEX,上证50指数期权2703认购2500,100.0,OP000016.SH,指数期权,C,欧式,2500.0,202703,20270319,394.0,20260323,20270319,20270319,,指数点,0.2
IO2703-C-4100.CFX,CFFEX,沪深300指数期权2703认购4100,100.0,OP000300.SH,指数期权,C,欧式,4100.0,202703,20270319,420.8,20260323,20270319,20270319,,指数点,0.2
HO2703-C-2600.CFX,CFFEX,上证50指数期权2703认购2600,100.0,OP000016.SH,指数期权,C,欧式,2600.0,202703,20270319,335.2,20260323,20270319,20270319,,指数点,0.2
IO2703-C-4200.CFX,CFFEX,沪深300指数期权2703认购4200,100.0,OP000300.SH,指数期权,C,欧式,4200.0,202703,20270319,371.2,20260323,20270319,20270319,,指数点,0.2
HO2703-C-2700.CFX,CFFEX,上证50指数期权2703认购2700,100.0,OP000016.SH,指数期权,C,欧式,2700.0,202703,20270319,282.8,20260323,20270319,20270319,,指数点,0.2
IO2703-C-4300.CFX,CFFEX,沪深300指数期权2703认购4300,100.0,OP000300.SH,指数期权,C,欧式,4300.0,202703,20270319,326.2,20260323,20270319,20270319,,指数点,0.2
HO2703-C-2800.CFX,CFFEX,上证50指数期权2703认购2800,100.0,OP000016.SH,指数期权,C,欧式,2800.0,202703,20270319,236.8,20260323,20270319,20270319,,指数点,0.2
IO2703-C-4400.CFX,CFFEX,沪深300指数期权2703认购4400,100.0,OP000300.SH,指数期权,C,欧式,4400.0,202703,20270319,285.6,20260323,20270319,20270319,,指数点,0.2
HO2703-C-2900.CFX,CFFEX,上证50指数期权2703认购2900,100.0,OP000016.SH,指数期权,C,欧式,2900.0,202703,20270319,196.8,20260323,20270319,20270319,,指数点,0.2
IO2703-C-4500.CFX,CFFEX,沪深300指数期权2703认购4500,100.0,OP000300.SH,指数期权,C,欧式,4500.0,202703,20270319,249.0,20260323,20270319,20270319,,指数点,0.2
HO2703-C-3000.CFX,CFFEX,上证50指数期权2703认购3000,100.0,OP000016.SH,指数期权,C,欧式,3000.0,202703,20270319,162.4,20260323,20270319,20270319,,指数点,0.2
IO2703-C-4600.CFX,CFFEX,沪深300指数期权2703认购4600,100.0,OP000300.SH,指数期权,C,欧式,4600.0,202703,20270319,216.2,20260323,20270319,20270319,,指数点,0.2
HO2703-C-3100.CFX,CFFEX,上证50指数期权2703认购3100,100.0,OP000016.SH,指数期权,C,欧式,3100.0,202703,20270319,133.2,20260323,20270319,20270319,,指数点,0.2
IO2703-C-4700.CFX,CFFEX,沪深300指数期权2703认购4700,100.0,OP000300.SH,指数期权,C,欧式,4700.0,202703,20270319,187.0,20260323,20270319,20270319,,指数点,0.2
HO2703-C-3200.CFX,CFFEX,上证50指数期权2703认购3200,100.0,OP000016.SH,指数期权,C,欧式,3200.0,202703,20270319,108.4,20260323,20270319,20270319,,指数点,0.2
IO2703-C-4800.CFX,CFFEX,沪深300指数期权2703认购4800,100.0,OP000300.SH,指数期权,C,欧式,4800.0,202703,20270319,161.4,20260323,20270319,20270319,,指数点,0.2
HO2703-P-2500.CFX,CFFEX,上证50指数期权2703认沽2500,100.0,OP000016.SH,指数期权,P,欧式,2500.0,202703,20270319,127.6,20260323,20270319,20270319,,指数点,0.2
IO2703-C-4900.CFX,CFFEX,沪深300指数期权2703认购4900,100.0,OP000300.SH,指数期权,C,欧式,4900.0,202703,20270319,138.6,20260323,20270319,20270319,,指数点,0.2
HO2703-P-2600.CFX,CFFEX,上证50指数期权2703认沽2600,100.0,OP000016.SH,指数期权,P,欧式,2600.0,202703,20270319,167.4,20260323,20270319,20270319,,指数点,0.2
IO2703-C-5000.CFX,CFFEX,沪深300指数期权2703认购5000,100.0,OP000300.SH,指数期权,C,欧式,5000.0,202703,20270319,118.6,20260323,20270319,20270319,,指数点,0.2
HO2703-P-2700.CFX,CFFEX,上证50指数期权2703认沽2700,100.0,OP000016.SH,指数期权,P,欧式,2700.0,202703,20270319,213.6,20260323,20270319,20270319,,指数点,0.2
IO2703-C-5200.CFX,CFFEX,沪深300指数期权2703认购5200,100.0,OP000300.SH,指数期权,C,欧式,5200.0,202703,20270319,86.2,20260323,20270319,20270319,,指数点,0.2
HO2703-P-2800.CFX,CFFEX,上证50指数期权2703认沽2800,100.0,OP000016.SH,指数期权,P,欧式,2800.0,202703,20270319,266.2,20260323,20270319,20270319,,指数点,0.2
IO2703-P-4100.CFX,CFFEX,沪深300指数期权2703认沽4100,100.0,OP000300.SH,指数期权,P,欧式,4100.0,202703,20270319,276.4,20260323,20270319,20270319,,指数点,0.2
HO2703-P-2900.CFX,CFFEX,上证50指数期权2703认沽2900,100.0,OP000016.SH,指数期权,P,欧式,2900.0,202703,20270319,324.6,20260323,20270319,20270319,,指数点,0.2
IO2703-P-4200.CFX,CFFEX,沪深300指数期权2703认沽4200,100.0,OP000300.SH,指数期权,P,欧式,4200.0,202703,20270319,325.6,20260323,20270319,20270319,,指数点,0.2
HO2703-P-3000.CFX,CFFEX,上证50指数期权2703认沽3000,100.0,OP000016.SH,指数期权,P,欧式,3000.0,202703,20270319,388.8,20260323,20270319,20270319,,指数点,0.2
IO2703-P-4300.CFX,CFFEX,沪深300指数期权2703认沽4300,100.0,OP000300.SH,指数期权,P,欧式,4300.0,202703,20270319,379.0,20260323,20270319,20270319,,指数点,0.2
HO2703-P-3100.CFX,CFFEX,上证50指数期权2703认沽3100,100.0,OP000016.SH,指数期权,P,欧式,3100.0,202703,20270319,458.0,20260323,20270319,20270319,,指数点,0.2
IO2703-P-4400.CFX,CFFEX,沪深300指数期权2703认沽4400,100.0,OP000300.SH,指数期权,P,欧式,4400.0,202703,20270319,437.0,20260323,20270319,20270319,,指数点,0.2
HO2703-P-3200.CFX,CFFEX,上证50指数期权2703认沽3200,100.0,OP000016.SH,指数期权,P,欧式,3200.0,202703,20270319,532.0,20260323,20270319,20270319,,指数点,0.2
IO2703-P-4500.CFX,CFFEX,沪深300指数期权2703认沽4500,100.0,OP000300.SH,指数期权,P,欧式,4500.0,202703,20270319,498.8,20260323,20270319,20270319,,指数点,0.2
IO2703-P-4600.CFX,CFFEX,沪深300指数期权2703认沽4600,100.0,OP000300.SH,指数期权,P,欧式,4600.0,202703,20270319,564.6,20260323,20270319,20270319,,指数点,0.2
IO2703-P-4700.CFX,CFFEX,沪深300指数期权2703认沽4700,100.0,OP000300.SH,指数期权,P,欧式,4700.0,202703,20270319,634.0,20260323,20270319,20270319,,指数点,0.2
IO2703-P-4800.CFX,CFFEX,沪深300指数期权2703认沽4800,100.0,OP000300.SH,指数期权,P,欧式,4800.0,202703,20270319,706.8,20260323,20270319,20270319,,指数点,0.2
IO2703-P-4900.CFX,CFFEX,沪深300指数期权2703认沽4900,100.0,OP000300.SH,指数期权,P,欧式,4900.0,202703,20270319,782.6,20260323,20270319,20270319,,指数点,0.2
IO2703-P-5000.CFX,CFFEX,沪深300指数期权2703认沽5000,100.0,OP000300.SH,指数期权,P,欧式,5000.0,202703,20270319,861.2,20260323,20270319,20270319,,指数点,0.2
IO2703-P-5200.CFX,CFFEX,沪深300指数期权2703认沽5200,100.0,OP000300.SH,指数期权,P,欧式,5200.0,202703,20270319,1025.8,20260323,20270319,20270319,,指数点,0.2
MO2703-C-6600.CFX,CFFEX,中证1000指数期权2703认购6600,100.0,OP000852.SH,指数期权,C,欧式,6600.0,202703,20270319,824.4,20260324,20270319,20270319,,指数点,0.2
MO2703-C-6800.CFX,CFFEX,中证1000指数期权2703认购6800,100.0,OP000852.SH,指数期权,C,欧式,6800.0,202703,20270319,742.6,20260324,20270319,20270319,,指数点,0.2
MO2703-P-6600.CFX,CFFEX,中证1000指数期权2703认沽6600,100.0,OP000852.SH,指数期权,P,欧式,6600.0,202703,20270319,603.8,20260324,20270319,20270319,,指数点,0.2
MO2703-P-6800.CFX,CFFEX,中证1000指数期权2703认沽6800,100.0,OP000852.SH,指数期权,P,欧式,6800.0,202703,20270319,725.6,20260324,20270319,20270319,,指数点,0.2
MO2703-C-8800.CFX,CFFEX,中证1000指数期权2703认购8800,100.0,OP000852.SH,指数期权,C,欧式,8800.0,202703,20270319,249.2,20260409,20270319,20270319,,指数点,0.2
MO2703-P-8800.CFX,CFFEX,中证1000指数期权2703认沽8800,100.0,OP000852.SH,指数期权,P,欧式,8800.0,202703,20270319,1706.4,20260409,20270319,20270319,,指数点,0.2
MO2612-P-7000.CFX,CFFEX,中证1000指数期权2612认沽7000,100.0,OP000852.SH,指数期权,P,欧式,7000.0,202612,20261218,977.8,20251222,20261218,20261218,,指数点,0.2
MO2612-P-7200.CFX,CFFEX,中证1000指数期权2612认沽7200,100.0,OP000852.SH,指数期权,P,欧式,7200.0,202612,20261218,1114.4,20251222,20261218,20261218,,指数点,0.2
MO2612-P-7400.CFX,CFFEX,中证1000指数期权2612认沽7400,100.0,OP000852.SH,指数期权,P,欧式,7400.0,202612,20261218,1258.2,20251222,20261218,20261218,,指数点,0.2
IO2612-C-3900.CFX,CFFEX,沪深300指数期权2612认购3900,100.0,OP000300.SH,指数期权,C,欧式,3900.0,202612,20261218,499.8,20260324,20261218,20261218,,指数点,0.2
MO2612-P-7600.CFX,CFFEX,中证1000指数期权2612认沽7600,100.0,OP000852.SH,指数期权,P,欧式,7600.0,202612,20261218,1408.8,20251222,20261218,20261218,,指数点,0.2
HO2612-C-3500.CFX,CFFEX,上证50指数期权2612认购3500,100.0,OP000016.SH,指数期权,C,欧式,3500.0,202612,20261218,79.6,20260106,20261218,20261218,,指数点,0.2
IO2612-C-4000.CFX,CFFEX,沪深300指数期权2612认购4000,100.0,OP000300.SH,指数期权,C,欧式,4000.0,202612,20261218,439.6,20260324,20261218,20261218,,指数点,0.2
MO2612-P-7800.CFX,CFFEX,中证1000指数期权2612认沽7800,100.0,OP000852.SH,指数期权,P,欧式,7800.0,202612,20261218,1565.2,20251222,20261218,20261218,,指数点,0.2
HO2612-P-3500.CFX,CFFEX,上证50指数期权2612认沽3500,100.0,OP000016.SH,指数期权,P,欧式,3500.0,202612,20261218,484.4,20260106,20261218,20261218,,指数点,0.2
IO2612-P-3900.CFX,CFFEX,沪深300指数期权2612认沽3900,100.0,OP000300.SH,指数期权,P,欧式,3900.0,202612,20261218,131.6,20260324,20261218,20261218,,指数点,0.2
MO2612-P-8000.CFX,CFFEX,中证1000指数期权2612认沽8000,100.0,OP000852.SH,指数期权,P,欧式,8000.0,202612,20261218,1727.2,20251222,20261218,20261218,,指数点,0.2
IO2612-P-4000.CFX,CFFEX,沪深300指数期权2612认沽4000,100.0,OP000300.SH,指数期权,P,欧式,4000.0,202612,20261218,173.6,20260324,20261218,20261218,,指数点,0.2
MO2612-P-8200.CFX,CFFEX,中证1000指数期权2612认沽8200,100.0,OP000852.SH,指数期权,P,欧式,8200.0,202612,20261218,1893.8,20251222,20261218,20261218,,指数点,0.2
IO2612-C-4100.CFX,CFFEX,沪深300指数期权2612认购4100,100.0,OP000300.SH,指数期权,C,欧式,4100.0,202612,20261218,484.2,20251222,20261218,20261218,,指数点,0.2
IO2612-C-4200.CFX,CFFEX,沪深300指数期权2612认购4200,100.0,OP000300.SH,指数期权,C,欧式,4200.0,202612,20261218,427.8,20251222,20261218,20261218,,指数点,0.2
IO2612-C-4300.CFX,CFFEX,沪深300指数期权2612认购4300,100.0,OP000300.SH,指数期权,C,欧式,4300.0,202612,20261218,376.2,20251222,20261218,20261218,,指数点,0.2
IO2612-C-4400.CFX,CFFEX,沪深300指数期权2612认购4400,100.0,OP000300.SH,指数期权,C,欧式,4400.0,202612,20261218,329.2,20251222,20261218,20261218,,指数点,0.2
MO2612-C-9200.CFX,CFFEX,中证1000指数期权2612认购9200,100.0,OP000852.SH,指数期权,C,欧式,9200.0,202612,20261218,390.6,20260113,20261218,20261218,,指数点,0.2
IO2612-C-4500.CFX,CFFEX,沪深300指数期权2612认购4500,100.0,OP000300.SH,指数期权,C,欧式,4500.0,202612,20261218,286.8,20251222,20261218,20261218,,指数点,0.2
MO2612-P-9200.CFX,CFFEX,中证1000指数期权2612认沽9200,100.0,OP000852.SH,指数期权,P,欧式,9200.0,202612,20261218,1672.4,20260113,20261218,20261218,,指数点,0.2
IO2612-C-4600.CFX,CFFEX,沪深300指数期权2612认购4600,100.0,OP000300.SH,指数期权,C,欧式,4600.0,202612,20261218,248.8,20251222,20261218,20261218,,指数点,0.2
IO2612-C-4700.CFX,CFFEX,沪深300指数期权2612认购4700,100.0,OP000300.SH,指数期权,C,欧式,4700.0,202612,20261218,214.8,20251222,20261218,20261218,,指数点,0.2
IO2612-C-4800.CFX,CFFEX,沪深300指数期权2612认购4800,100.0,OP000300.SH,指数期权,C,欧式,4800.0,202612,20261218,184.8,20251222,20261218,20261218,,指数点,0.2
IO2612-C-4900.CFX,CFFEX,沪深300指数期权2612认购4900,100.0,OP000300.SH,指数期权,C,欧式,4900.0,202612,20261218,158.2,20251222,20261218,20261218,,指数点,0.2
IO2612-C-5000.CFX,CFFEX,沪深300指数期权2612认购5000,100.0,OP000300.SH,指数期权,C,欧式,5000.0,202612,20261218,135.0,20251222,20261218,20261218,,指数点,0.2
IO2612-C-5200.CFX,CFFEX,沪深300指数期权2612认购5200,100.0,OP000300.SH,指数期权,C,欧式,5200.0,202612,20261218,97.0,20251222,20261218,20261218,,指数点,0.2
IO2612-P-4100.CFX,CFFEX,沪深300指数期权2612认沽4100,100.0,OP000300.SH,指数期权,P,欧式,4100.0,202612,20261218,205.4,20251222,20261218,20261218,,指数点,0.2
IO2612-P-4200.CFX,CFFEX,沪深300指数期权2612认沽4200,100.0,OP000300.SH,指数期权,P,欧式,4200.0,202612,20261218,247.6,20251222,20261218,20261218,,指数点,0.2
IO2612-P-4300.CFX,CFFEX,沪深300指数期权2612认沽4300,100.0,OP000300.SH,指数期权,P,欧式,4300.0,202612,20261218,294.4,20251222,20261218,20261218,,指数点,0.2
IO2612-P-4400.CFX,CFFEX,沪深300指数期权2612认沽4400,100.0,OP000300.SH,指数期权,P,欧式,4400.0,202612,20261218,346.0,20251222,20261218,20261218,,指数点,0.2
IO2612-P-4500.CFX,CFFEX,沪深300指数期权2612认沽4500,100.0,OP000300.SH,指数期权,P,欧式,4500.0,202612,20261218,402.2,20251222,20261218,20261218,,指数点,0.2
MO2612-C-8800.CFX,CFFEX,中证1000指数期权2612认购8800,100.0,OP000852.SH,指数期权,C,欧式,8800.0,202612,20261218,271.8,20260107,20261218,20261218,,指数点,0.2
IO2612-P-4600.CFX,CFFEX,沪深300指数期权2612认沽4600,100.0,OP000300.SH,指数期权,P,欧式,4600.0,202612,20261218,462.6,20251222,20261218,20261218,,指数点,0.2
MO2612-P-8800.CFX,CFFEX,中证1000指数期权2612认沽8800,100.0,OP000852.SH,指数期权,P,欧式,8800.0,202612,20261218,1723.0,20260107,20261218,20261218,,指数点,0.2
IO2612-P-4700.CFX,CFFEX,沪深300指数期权2612认沽4700,100.0,OP000300.SH,指数期权,P,欧式,4700.0,202612,20261218,527.2,20251222,20261218,20261218,,指数点,0.2
IO2612-P-4800.CFX,CFFEX,沪深300指数期权2612认沽4800,100.0,OP000300.SH,指数期权,P,欧式,4800.0,202612,20261218,595.4,20251222,20261218,20261218,,指数点,0.2
IO2612-P-4900.CFX,CFFEX,沪深300指数期权2612认沽4900,100.0,OP000300.SH,指数期权,P,欧式,4900.0,202612,20261218,667.4,20251222,20261218,20261218,,指数点,0.2
IO2612-P-5000.CFX,CFFEX,沪深300指数期权2612认沽5000,100.0,OP000300.SH,指数期权,P,欧式,5000.0,202612,20261218,742.6,20251222,20261218,20261218,,指数点,0.2
IO2612-P-5200.CFX,CFFEX,沪深300指数期权2612认沽5200,100.0,OP000300.SH,指数期权,P,欧式,5200.0,202612,20261218,901.8,20251222,20261218,20261218,,指数点,0.2
HO2612-C-2700.CFX,CFFEX,上证50指数期权2612认购2700,100.0,OP000016.SH,指数期权,C,欧式,2700.0,202612,20261218,364.2,20251222,20261218,20261218,,指数点,0.2
HO2612-C-2800.CFX,CFFEX,上证50指数期权2612认购2800,100.0,OP000016.SH,指数期权,C,欧式,2800.0,202612,20261218,301.8,20251222,20261218,20261218,,指数点,0.2
HO2612-C-2900.CFX,CFFEX,上证50指数期权2612认购2900,100.0,OP000016.SH,指数期权,C,欧式,2900.0,202612,20261218,246.8,20251222,20261218,20261218,,指数点,0.2
HO2612-C-3000.CFX,CFFEX,上证50指数期权2612认购3000,100.0,OP000016.SH,指数期权,C,欧式,3000.0,202612,20261218,199.4,20251222,20261218,20261218,,指数点,0.2
HO2612-C-3100.CFX,CFFEX,上证50指数期权2612认购3100,100.0,OP000016.SH,指数期权,C,欧式,3100.0,202612,20261218,159.0,20251222,20261218,20261218,,指数点,0.2
HO2612-C-3200.CFX,CFFEX,上证50指数期权2612认购3200,100.0,OP000016.SH,指数期权,C,欧式,3200.0,202612,20261218,125.4,20251222,20261218,20261218,,指数点,0.2
HO2612-C-3300.CFX,CFFEX,上证50指数期权2612认购3300,100.0,OP000016.SH,指数期权,C,欧式,3300.0,202612,20261218,97.6,20251222,20261218,20261218,,指数点,0.2
HO2612-C-3400.CFX,CFFEX,上证50指数期权2612认购3400,100.0,OP000016.SH,指数期权,C,欧式,3400.0,202612,20261218,75.2,20251222,20261218,20261218,,指数点,0.2
HO2612-P-2700.CFX,CFFEX,上证50指数期权2612认沽2700,100.0,OP000016.SH,指数期权,P,欧式,2700.0,202612,20261218,94.2,20251222,20261218,20261218,,指数点,0.2
HO2612-P-2800.CFX,CFFEX,上证50指数期权2612认沽2800,100.0,OP000016.SH,指数期权,P,欧式,2800.0,202612,20261218,130.2,20251222,20261218,20261218,,指数点,0.2
HO2612-P-2900.CFX,CFFEX,上证50指数期权2612认沽2900,100.0,OP000016.SH,指数期权,P,欧式,2900.0,202612,20261218,173.8,20251222,20261218,20261218,,指数点,0.2
MO2612-C-8600.CFX,CFFEX,中证1000指数期权2612认购8600,100.0,OP000852.SH,指数期权,C,欧式,8600.0,202612,20261218,259.0,20260106,20261218,20261218,,指数点,0.2
HO2612-P-3000.CFX,CFFEX,上证50指数期权2612认沽3000,100.0,OP000016.SH,指数期权,P,欧式,3000.0,202612,20261218,224.8,20251222,20261218,20261218,,指数点,0.2
MO2612-P-8600.CFX,CFFEX,中证1000指数期权2612认沽8600,100.0,OP000852.SH,指数期权,P,欧式,8600.0,202612,20261218,1669.6,20260106,20261218,20261218,,指数点,0.2
HO2612-P-3100.CFX,CFFEX,上证50指数期权2612认沽3100,100.0,OP000016.SH,指数期权,P,欧式,3100.0,202612,20261218,283.0,20251222,20261218,20261218,,指数点,0.2
